Event_Name,Date_start,Date_end,Address,City,Link
The Dawn of Spirit & Light,March 30 @ 7:30 pm,n.a.,333 Newell Drive,Gainesville,https://www.visitgainesville.com/event/the-dawn-of-spirit-light/
Jest Fest!,March 31 @ 11:00 am,n.a.,306 NE 6th Ave,Gainesville,https://www.visitgainesville.com/event/jest-fest/
Elegance of Science winners to present their work April 1 at Florida Museum,April 1 @ 12:00 pm,n.a.,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/elegance-of-science-winners-to-present-their-work-april-1-at-florida-museum/
Kaili Blues,April 4 @ 1:00 pm,n.a.,25 SE 2nd Pl,Gainesville,https://www.visitgainesville.com/event/kaili-blues/2019-04-04/2/
BlacKkKlansman,April 4 @ 1:00 pm,n.a.,25 SE 2nd Pl,Gainesville,https://www.visitgainesville.com/event/blackkklansman/2019-04-04/2/
More than 150 species available during Florida Museum plant sale April 5-7,April 5 @ 10:00 am,n.a.,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/more-than-150-species-available-during-florida-museum-plant-sale-april-5-7/2019-04-05/
Snake in the Grass,April 5 @ 2:00 pm,n.a.,"130 NE 1st Ave,",High Springs,https://www.visitgainesville.com/event/snake-in-the-grass/2019-04-05/2/
Frogs and Friends Friday at Morningside Nature Center,April 5 @ 2:00 pm,n.a.,3540 E. University Avenue,Gainesville,https://www.visitgainesville.com/event/frogs-and-friends-friday-at-morningside-nature-center/2019-04-05/
Huge Blues Show: Vanessa Collier/Little Mike & the Tornadoes/Bridget Kelly Band,April 5 @ 7:00 pm,n.a.,619 Main St.,Gainesville,https://www.visitgainesville.com/event/huge-blues-show-vanessa-collier-little-mike-the-tornadoes-bridget-kelly-band/
Birds Of Passage,April 5 @ 8:00 pm,n.a.,25 SE 2nd Pl,Gainesville,https://www.visitgainesville.com/event/birds-of-passage/
Springs Celebration and O’Leno Ole Chili Cookoff,April 6 @ 8:00 am,n.a.,410 SE Oleno Park Rd,High Springs,https://www.visitgainesville.com/event/springs-celebration-and-oleno-ole-chili-cookoff/
The Great Inflatable Race,April 6 @ 9:00 am,n.a.,3100 NE 39th Ave,Gainesville,https://www.visitgainesville.com/event/the-great-inflatable-race/
BANCF 2019 Spring Parade of Homes™,April 6 @ 12:00 pm,n.a.,n.a.,Gainesville,https://www.visitgainesville.com/event/bancf-2019-spring-parade-of-homes/2019-04-06/
BANCF 2019 Spring Parade of Homes™,April 6 @ 12:00 pm,n.a.,n.a.,Gainesville,https://www.visitgainesville.com/event/bancf-2019-spring-parade-of-homes-2/2019-04-06/
Chris Tomlin – Holy Roar Tour,April 6 @ 7:00 pm,n.a.,250 Gale Lemerand Dr,Gainesville,https://www.visitgainesville.com/event/chris-tomlin-holy-roar-tour/
The North Central Florida Blues Society jam,April 7 @ 5:00 pm,n.a.,1001 NW 4th St,Gainesville,https://www.visitgainesville.com/event/the-north-central-florida-blues-society-jam/
"Florida Museum launches ‘One Tree, One Planet’ app April 8",April 8 @ 6:00 pm,n.a.,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/florida-museum-launches-one-tree-one-planet-app-april-8/
Tainted Cabaret – 2019 International Tour,April 10 @ 7:00 pm,n.a.,920 NW 2nd Street,Gainesville,https://www.visitgainesville.com/event/tainted-cabaret-2019-international-tour/
Civil War Places,April 11 @ 6:00 pm,n.a.,513 E University Ave,Gainesville,https://www.visitgainesville.com/event/civil-war-places/
HuDost album release show at the Hippodrome in Gainesville,April 11 @ 7:00 pm,n.a.,25 SE 2nd Pl,Gainesville,https://www.visitgainesville.com/event/hudost-album-release-show-at-the-hippodrome-in-gainesville/
The 3rd Annual Great Gainesville Car Show,April 13 @ 9:00 am,n.a.,111 E University Ave,Gainesville,https://www.visitgainesville.com/event/the-3rd-annual-great-gainesville-car-show/
UF College of Veterinary Medicine Open House,April 13 @ 10:00 am,n.a.,2015 SW 16th Ave.,Gainesville,https://www.visitgainesville.com/event/uf-college-of-veterinary-medicine-open-house/
North Central Florida Home and Garden Show,April 13 @ 10:00 am,April 14 @ 5:00 pm,250 Gale Lemerand Dr,Gainesville,https://www.visitgainesville.com/event/north-central-florida-home-and-garden-show/
Buchholz Band “A Taste for Music”,April 13 @ 6:00 pm,n.a.,4200 NW 97th blvd.,Gainesville,https://www.visitgainesville.com/event/buchholz-band-a-taste-for-music/
Gainesville Music Legends Concert,April 13 @ 6:00 pm,n.a.,111 E University Ave,Gainesville,https://www.visitgainesville.com/event/gainesville-music-legends-concert/
Florida Museum to host photography workshop April 14,April 14 @ 9:00 am,n.a.,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/florida-museum-to-host-photography-workshop-april-14/
Museum for Me sensory-friendly event,April 14 @ 10:00 am,n.a.,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/museum-for-me-sensory-friendly-event/
We Are Neutral’s Earth Day Celebration at Depot Park presented by Fracture,April 14 @ 12:00 pm,n.a.,200 SE Depot Ave,Gainesville,https://www.visitgainesville.com/event/we-are-neutrals-earth-day-celebration-at-depot-park-presented-by-fracture/
21 Savage,April 15 @ 7:30 pm,n.a.,250 Gale Lemerand Dr,Gainesville,https://www.visitgainesville.com/event/21-savage-performance/
SciArt Meetup: Da Vinci at the Florida Museum,April 16 @ 6:00 pm,n.a.,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/sciart-meetup-da-vinci-at-the-florida-museum/
Sorry to Bother You,April 18 @ 1:00 pm,n.a.,25 SE 2nd Pl,Gainesville,https://www.visitgainesville.com/event/sorry-to-bother-you/2019-04-18/2/
Time Warp: Life of Brian,April 18 @ 8:30 pm,n.a.,25 SE 2nd Pl,Gainesville,https://www.visitgainesville.com/event/time-warp-life-of-brian/
National Geographic Live: Ocean Soul,April 19 @ 7:30 pm,n.a.,3201 Hull Rd,Gainesville,https://www.visitgainesville.com/event/national-geographic-live-ocean-soul/
Native Plant Sale,April 20 @ 8:30 am,n.a.,3540 E. University Avenue,Gainesville,https://www.visitgainesville.com/event/native-plant-sale/
Garth Brooks Stadium Tour,April 20 @ 7:00 pm,n.a.,157 Gale Lemerand Dr,Gainesville,https://www.visitgainesville.com/event/garth-brooks-stadium-tour/
Easter Brunch at Sweetwater Branch Inn,April 21 @ 11:00 am,n.a.,625 East University Avenue,Gainesville,https://www.visitgainesville.com/event/easter-brunch-at-sweetwater-branch-inn/
HUMAN Vol. 2,April 21 @ 3:00 pm,n.a.,25 SE 2nd Pl,Gainesville,https://www.visitgainesville.com/event/human-vol-2/2019-04-21/
